states,actions
11140800.0,0
11140800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
2692800.0,0
2692800.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
2481600.0,0
6705600.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
2692800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
6916800.0,0
