states,actions,states full,actions_num
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3198.629015762822), np.float64(-0.11021), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-1733.5848327316598), 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3139.846828782851), np.float64(0.26025), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-1716.9640488077603), 0, 0, np.float64(20.0), np.float64(120.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(2926.9631296919015), np.float64(1.5294), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-1522.459268585695), 0, 0, np.float64(40.0), np.float64(100.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(2926.9631296919015), np.float64(1.4149), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-1407.4378517633195), 0, 0, np.float64(60.0), np.float64(80.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(2926.9631296919015), np.float64(1.3648), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-1293.5877088557863), 0, 0, np.float64(80.0), np.float64(60.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3031.6262934210336), np.float64(1.3271), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-1160.8683401405233), 0, 0, np.float64(100.0), np.float64(40.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3147.159088232403), np.float64(1.3205), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-990.2639204058141), 0, 0, np.float64(120.0), np.float64(20.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3278.598207004019), np.float64(1.3178), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-782.9233425583552), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3450.710210559929), np.float64(1.3166), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-681.0792123474585), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3616.498017311929), np.float64(1.3152), np.float64(0.0), np.float64(6068.8), np.float64(8173.0), np.float64(8486.5), np.float64(-440.4760406227215), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
802,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3776.0514794282176), np.float64(1.3135), np.float64(0.0), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), np.float64(-310.2376934840122), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3905.5230085517874), np.float64(1.3126), np.float64(0.0), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4014.6052136307308), np.float64(1.332), np.float64(0.53019), np.float64(8800.0), np.float64(6807.4), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
